name;info
Hand of God;['Hand of God', 'Amazon Prime Video', 'Crime` Drama', 'A morally-corrupt judge suffers a breakdown and believes God is compelling him onto a path of vigilante justice.', '2', 'https://m.media-amazon.com/images/M/MV5BOTRhNWFjOGEtNWNlYy00MjlkLTk1MjctN2MxMjE3NGVjZDg0XkEyXkFqcGdeQXVyNjkwNzEwMzU@._V1_UX182_CR0`0`182`268_AL_.jpg']
Fearless;['Fearless', 'Amazon Prime Video', 'Crime` Drama` Mystery', 'Emma Banville` a human rights lawyer known for defending lost causes` sets out to prove the innocence of Kevin Russell` who was convicted for the murder of a school girl 14 years earlier.', '1', 'https://m.media-amazon.com/images/M/MV5BZjZlOTEwZjMtMjYxMC00MmM3LWE4ZDYtOTJlOTgzYTM2NzcwXkEyXkFqcGdeQXVyMjg4MzU3NTQ@._V1_UY268_CR3`0`182`268_AL_.jpg']
The Last Post;['The Last Post', 'Amazon Prime Video', 'Drama` History` Romance', 'Aden 1965. This is the story of a British army unit fighting a Yemeni insurgency in the Middle East and the women and children who were there with them.', '1', 'https://m.media-amazon.com/images/M/MV5BMTExMDM4ODk5MTVeQTJeQWpwZ15BbWU4MDA0MjY2MjQz._V1_UX182_CR0`0`182`268_AL_.jpg']
Jean-Claude Van Johnson;"['Jean-Claude Van Johnson', 'Amazon Prime Video', 'Action` Comedy` Drama', 'Stars global martial arts & actor Jean-Claude Van Damme playing ""Jean-Claude Van Damme""` a global martial arts & film sensation` also operating under the simple alias of ""Johnson"" as the ...                See full summary\xa0»', '1', 'https://m.media-amazon.com/images/M/MV5BMmFkYjc2ZGUtMGQ1MC00MWQ2LTg0MzctN2Y5MTgxY2NhYThlXkEyXkFqcGdeQXVyNjkwNzEwMzU@._V1_UX182_CR0`0`182`268_AL_.jpg']"
Mirzapur;['Mirzapur', 'Amazon Prime Video', 'Action` Crime` Drama', 'A shocking incident at a wedding procession ignites a series of events entangling the lives of two families in the lawless city of Mirzapur.', '2', 'https://m.media-amazon.com/images/M/MV5BMWUyYWNiODItNjdmNS00ZDhlLWE0YjQtNGEyMDg3ODJiMTM3XkEyXkFqcGdeQXVyODQ5NDUwMDk@._V1_UX182_CR0`0`182`268_AL_.jpg']
Alpha House;['Alpha House', 'Amazon Prime Video', 'Comedy` Drama', 'Four Republican senators share the same D.C. house rental` and face re-election battles` looming indictments` and parties -- all with a sense of humor.', '2', 'https://m.media-amazon.com/images/M/MV5BMTQyNDcwMDU5Nl5BMl5BanBnXkFtZTgwMDEwMjE4MjE@._V1_UX182_CR0`0`182`268_AL_.jpg']
One Mississippi;['One Mississippi', 'Amazon Prime Video', 'Comedy` Drama', 'This semi-autobiographical dark comedy starring Tig Notaro follows her as she returns to her hometown after the sudden death of her mother. Still reeling from her own declining health ...                See full summary\xa0»', '2', 'https://m.media-amazon.com/images/M/MV5BOWEyYTVkMDYtNTFjNC00M2E4LTljYWItNTk0Y2UzMzJlZmNlXkEyXkFqcGdeQXVyNjkwNzEwMzU@._V1_UX182_CR0`0`182`268_AL_.jpg']
Game of Thrones;['Game of Thrones', 'HBO', 'Action` Adventure` Drama', 'Nine noble families fight for control over the mythical lands of Westeros` while an ancient enemy returns after being dormant for thousands of years.', '8', 'https://m.media-amazon.com/images/M/MV5BMjA5NzA5NjMwNl5BMl5BanBnXkFtZTgwNjg2OTk2NzM@._V1_UX182_CR0`0`182`268_AL_.jpg']
Silicon Valley;['Silicon Valley', 'HBO', 'Comedy', 'Follows the struggle of Richard Hendricks` a Silicon Valley engineer trying to build his own company called Pied Piper.', '6', 'https://m.media-amazon.com/images/M/MV5BOTcwNzU2MGEtMzUzNC00MzMwLWJhZGItNDY3NDllYjU5YzAyXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX182_CR0`0`182`268_AL_.jpg']
True Detective;['True Detective', 'HBO', 'Crime` Drama` Mystery', 'Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved` both within and outside the law.', '3', 'https://m.media-amazon.com/images/M/MV5BMTUwMGM2ZmYtZGEyZC00OWQyLWI2Y2QtMTdjYzMxZGJmNjhjXkEyXkFqcGdeQXVyNjU2ODM5MjU@._V1_UX182_CR0`0`182`268_AL_.jpg']
The Sopranos;['The Sopranos', 'HBO', 'Crime` Drama', 'New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state` leading him to seek professional psychiatric counseling.', '6', 'https://m.media-amazon.com/images/M/MV5BZGJjYzhjYTYtMDBjYy00OWU1LTg5OTYtNmYwOTZmZjE3ZDdhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR3`0`182`268_AL_.jpg']
The Wire;['The Wire', 'HBO', 'Crime` Drama` Thriller', 'The Baltimore drug scene` as seen through the eyes of drug dealers and law enforcement.', '5', 'https://m.media-amazon.com/images/M/MV5BNjc1NzYwODEyMV5BMl5BanBnXkFtZTcwNTcxMzU1MQ@@._V1_UY268_CR7`0`182`268_AL_.jpg']
Ballers;['Ballers', 'HBO', 'Comedy` Drama` Sport', 'A series centered around a group of football players and their families` friends and handlers.', '5', 'https://m.media-amazon.com/images/M/MV5BYzM5NDRkNzItN2FkZC00ZjQyLTlmYzctYmNiNTA4YzIxYTg2XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX182_CR0`0`182`268_AL_.jpg']
True Blood;['True Blood', 'HBO', 'Drama` Fantasy` Mystery', 'Telepathic waitress Sookie Stackhouse encounters a strange new supernatural world when she meets the mysterious Bill` a southern Louisiana gentleman and vampire.', '7', 'https://m.media-amazon.com/images/M/MV5BMDVjZDQ2N2MtMzMxYy00ZjliLTg5YjAtNjk1OTUwYjVjNWQ0XkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_UX182_CR0`0`182`268_AL_.jpg']
Band of Brothers;['Band of Brothers', 'HBO', 'Action` Drama` History', 'The story of Easy Company of the U.S. Army 101st Airborne Division` and their mission in World War II Europe` from Operation Overlord` through V-J Day.', '1', 'https://m.media-amazon.com/images/M/MV5BMTI3ODc2ODc0M15BMl5BanBnXkFtZTYwMjgzNjc3._V1_UX182_CR0`0`182`268_AL_.jpg']
The Leftovers;['The Leftovers', 'HBO', 'Drama` Fantasy` Mystery', 'Three years after the disappearance of two percent of the global population` a group of people in a small New York community try to continue their lives while coping with the tragedy of the unexplained nature of the event.', '3', 'https://m.media-amazon.com/images/M/MV5BNTE3MDc1MjY4NV5BMl5BanBnXkFtZTgwMDg4MjQ4MTE@._V1_UX182_CR0`0`182`268_AL_.jpg']
Deadwood;"['Deadwood', 'HBO', 'Crime` Drama` History', 'A show set in the late 1800s` revolving around the characters of Deadwood` South Dakota; a town of deep corruption and crime.', '3', 'https://m.media-amazon.com/images/M/MV5BNDJhMjUzMDYtNzc4MS00Nzk2LTkyMGQtN2M5NTczYTZmYmY5XkEyXkFqcGdeQXVyMzU3MTc5OTE@._V1_UY268_CR0`0`182`268_AL_.jpg']"
Sex and the City;['Sex and the City', 'HBO', 'Comedy` Drama` Romance', 'Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the 1990s.', '6', 'https://m.media-amazon.com/images/M/MV5BNGEyNDRjM2QtY2VlYy00OWRhLWI4N2UtZTM4NDc0MGM0YzBkXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_UX182_CR0`0`182`268_AL_.jpg']
Boardwalk Empire;['Boardwalk Empire', 'HBO', 'Crime` Drama` History', 'An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.', '5', 'https://m.media-amazon.com/images/M/MV5BYTYxNzc5ZmYtODcyNi00ZWUwLWExNWUtY2Y0YTlhZDBlMGU1XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UY268_CR2`0`182`268_AL_.jpg']
Curb Your Enthusiasm;['Curb Your Enthusiasm', 'HBO', 'Comedy', 'The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.', '10', 'https://m.media-amazon.com/images/M/MV5BMTgxNDMwMjQ5N15BMl5BanBnXkFtZTgwMjM4MTAzMzI@._V1_UX182_CR0`0`182`268_AL_.jpg']
Rome;['Rome', 'HBO', 'Action` Drama` History', 'A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.', '2', 'https://m.media-amazon.com/images/M/MV5BZTM4NjBkMWEtZDA4My00MzA0LWI0ZWMtNzUwYWVhOThiMTgwXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR11`0`182`268_AL_.jpg']
Entourage;['Entourage', 'HBO', 'Comedy` Drama', 'Film star Vince Chase navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent.', '8', 'https://m.media-amazon.com/images/M/MV5BZDg3ZDc2MDQtNzQwZi00YzFjLTgyOTMtMDMzZTc5N2VlNTg2XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY268_CR7`0`182`268_AL_.jpg']
Veep;['Veep', 'HBO', 'Comedy', 'Former Senator Selina Meyer finds that being Vice President of the United States is nothing like she hoped and everything that everyone ever warned her about.', '7', 'https://m.media-amazon.com/images/M/MV5BMjE2NDM0OTEwMl5BMl5BanBnXkFtZTgwNzgwNDI0ODE@._V1_UX182_CR0`0`182`268_AL_.jpg']
Six Feet Under;['Six Feet Under', 'HBO', 'Comedy` Drama', 'A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.', '5', 'https://m.media-amazon.com/images/M/MV5BZTFlZWQzNTEtZmE0Zi00NGE0LTg5MjMtMjhhNDM5ZWNkOTllXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UX182_CR0`0`182`268_AL_.jpg']
Oz;['Oz', 'HBO', 'Crime` Drama` Thriller', 'A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.', '6', 'https://m.media-amazon.com/images/M/MV5BZGU0Zjc5ZGQtYzBhNi00NDFhLWE5MWEtMjQxNGFhMGJmOWM0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0`0`182`268_AL_.jpg']
The Newsroom;['The Newsroom', 'HBO', 'Drama', 'A newsroom undergoes some changes in its workings and morals as a new team is brought in` bringing unexpected results for its existing news anchor.', '3', 'https://m.media-amazon.com/images/M/MV5BZjg5OGU2OGMtNTM3ZC00YTEzLWFmZjMtOWQ3NGI5YjIzODJlXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UX182_CR0`0`182`268_AL_.jpg']
The Pacific;['The Pacific', 'HBO', 'Action` Adventure` Drama', 'The Pacific Theatre of World War II` as seen through the eyes of several young Marines.', '1', 'https://m.media-amazon.com/images/M/MV5BNmEwNmI1MjItNjNjYy00NDE5LWJiNTYtM2QxMTI5ZjllZTBhL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR0`0`182`268_AL_.jpg']
Big Love;['Big Love', 'HBO', 'Drama', 'A polygamist and his relationship with his three wives.', '5', 'https://m.media-amazon.com/images/M/MV5BMTkxMjEzNTE0Ml5BMl5BanBnXkFtZTcwNTM3MDAzNA@@._V1_UX182_CR0`0`182`268_AL_.jpg']
John Adams;['John Adams', 'HBO', 'Biography` Drama` History', 'The life of one of the USA^s Founding Fathers` its second President` and his role in the nation^s first 50 years.', '1', 'https://m.media-amazon.com/images/M/MV5BMTQwNDc0MDE2MF5BMl5BanBnXkFtZTcwODYwNjE2MQ@@._V1_UY268_CR9`0`182`268_AL_.jpg']
In Treatment;['In Treatment', 'HBO', 'Drama', 'A psychotherapist questions his abilities and gets help by reuniting with his old therapist` whom he has not seen for ten years.', '3', 'https://m.media-amazon.com/images/M/MV5BNjM4NzMzMDI1NF5BMl5BanBnXkFtZTcwOTE2MTMwNA@@._V1_UY268_CR12`0`182`268_AL_.jpg']
Togetherness;['Togetherness', 'HBO', 'Comedy` Drama` Romance', 'Follows two couples living under the same roof who struggle to keep their relationships alive while pursuing their individual dreams.', '2', 'https://m.media-amazon.com/images/M/MV5BMjEwMjEyMzM2Ml5BMl5BanBnXkFtZTgwNTk2Mjk3NzE@._V1_UX182_CR0`0`182`268_AL_.jpg']
Getting On;['Getting On', 'HBO', 'Comedy', 'Set in a geriatric extended care wing of a down-at-the-heels hospital` Getting On follows put-upon nurses` anxious doctors and administrators as they struggle with the darkly comic` ...                See full summary\xa0»', '3', 'https://m.media-amazon.com/images/M/MV5BYWJlMGQ2Y2YtMmJlMy00YTE5LTlhMGEtYmIyNmRkYzJlMDlmXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UX182_CR0`0`182`268_AL_.jpg']
