name;info
Anne;['Anne', 'Netflix', 'Drama', 'The adventures of a young orphan girl living in the late 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island` in this new take on L.M. Montgomery^s classic novels.', '3', 'https://m.media-amazon.com/images/M/MV5BMjQxNzIzNzI1MF5BMl5BanBnXkFtZTgwMTUzNDk2NTM@._V1_UX182_CR0`0`182`268_AL_.jpg']
3%;"['3%', 'Netflix', 'Action` Drama` Sci-Fi', 'A thriller set in a world sharply divided between progress and devastation` where people are given the chance to make it to the ""better side"" but only 3% of the candidates succeed.', '3', 'https://m.media-amazon.com/images/M/MV5BNGMzMWFiODMtMmM3Yy00OGQ5LWExZTAtY2VjZDY1ZTliMzNkXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_UY268_CR16`0`182`268_AL_.jpg']"
Bloodline;['Bloodline', 'Netflix', 'Drama` Thriller', 'A family finds themselves forced to face their past secrets and scars when the black sheep returns home.', '3', 'https://m.media-amazon.com/images/M/MV5BMTU4OTY0MzM1OV5BMl5BanBnXkFtZTgwMjkxMzE0MjI@._V1_UY268_CR3`0`182`268_AL_.jpg']
The OA;['The OA', 'Netflix', 'Drama` Fantasy` Mystery', 'Having gone missing seven years ago` the previously blind Prairie returns home` now in her twenties with her sight restored. While many believe she is a miracle` others worry that she could be dangerous.', '2', 'https://m.media-amazon.com/images/M/MV5BMTY5OTkwNDkzOF5BMl5BanBnXkFtZTgwMDEyNzI1NzM@._V1_UX182_CR0`0`182`268_AL_.jpg']
The End of the F***ing World;['The End of the F***ing World', 'Netflix', 'Adventure` Comedy` Crime', 'James is 17 and is pretty sure he is a psychopath. Alyssa` also 17` is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.', '2', 'https://m.media-amazon.com/images/M/MV5BMmRkOTIxYjktZmE1Yy00ZmNmLWE0YmItMjUyNzgxZTFjYTUwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0`0`182`268_AL_.jpg']
Godless;['Godless', 'Netflix', 'Drama` Western', 'In the 1880s American West murderous outlaw gang leader Frank Griffin hunts for ex-protege Roy Goode. Frank^s chase leads him to La Belle` New Mexico - a town inhabited` after a mining disaster` almost entirely by women.', '1', 'https://m.media-amazon.com/images/M/MV5BMTY0NzkxNDcxNF5BMl5BanBnXkFtZTgwOTI5ODM5MzI@._V1_UX182_CR0`0`182`268_AL_.jpg']
Alias Grace;['Alias Grace', 'Netflix', 'Biography` Crime` Drama', 'In 19th-century Canada` a psychiatrist weighs whether a murderess should be pardoned due to insanity.', '1', 'https://m.media-amazon.com/images/M/MV5BMjI4OTI1NTkwNV5BMl5BanBnXkFtZTgwMDc0ODc0MzI@._V1_UX182_CR0`0`182`268_AL_.jpg']
Castlevania;['Castlevania', 'Netflix', 'Animation` Action` Adventure', 'A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.', '3', 'https://m.media-amazon.com/images/M/MV5BNTZhNGMzNzctMzhiYS00MmJiLWJmYWItMzhiYTk4Zjg0ZWIxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0`0`182`268_AL_.jpg']
Orange Is the New Black;['Orange Is the New Black', 'Netflix', 'Comedy` Crime` Drama', 'Convicted of a decade old crime of transporting drug money to an ex-girlfriend` normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.', '7', 'https://m.media-amazon.com/images/M/MV5BYjYyM2FmMmMtZDgyZi00NGU3LWI3NzktODllZDY0YzQyNzgyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0`0`182`268_AL_.jpg']
Rick and Morty;['Rick and Morty', 'Hulu', 'Animation` Adventure` Comedy', 'An animated series that follows the exploits of a super scientist and his not-so-bright grandson.', '4', 'https://m.media-amazon.com/images/M/MV5BMjRiNDRhNGUtMzRkZi00MThlLTg0ZDMtNjc5YzFjYmFjMmM4XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UY268_CR2`0`182`268_AL_.jpg']
