name;recs
Homecoming;['The Punisher', 'The Last Post', 'The Pacific', 'Gypsy', 'Taboo', 'Bloodline']
Sneaky Pete;['Big Love', 'Hand of God', 'The Sopranos', 'Veep', 'Mindhunter', 'One Mississippi']
Good Omens;['Forever', 'Futurama', 'Getting On', 'Brooklyn Nine-Nine', 'Jean-Claude Van Johnson', 'Modern Family']
The Lord of the Rings;['The Pacific', 'Rick and Morty', 'Vikings', 'Game of Thrones', 'The Punisher', 'Black Sails']
Tin Star;['Mindhunter', 'Oz', 'The Wire', 'Informer', 'White Dragon', 'The Shield']
Goliath;['True Blood', 'Jean-Claude Van Johnson', 'Fargo', 'BoJack Horseman', 'The Haunting of Hill House', 'The Crown']
Absentia;['True Detective', 'Line of Duty', 'Twin Peaks', 'Fearless', 'The Shield', 'Altered Carbon']
Lore;['Getting On', 'Castlevania', 'The Haunting of Hill House', 'Rick and Morty', 'The Simpsons', 'South Park']
Forever;['White Dragon', 'Brockmire', 'Togetherness', 'Six Feet Under', 'Fargo', 'Ozark']
Mad Dogs;['Entourage', 'Narcos', 'The Shield', 'Orange Is the New Black', 'Mirzapur', 'Alias Grace']
Carnival Row;['Twin Peaks', 'Lucifer', 'Line of Duty', 'Togetherness', 'Twin Peaks', 'Absentia']
Electric Dreams;['3%', 'True Blood', 'The Man in the High Castle', 'Futurama', 'Firefly', 'Altered Carbon']
Fortitude;['The Innocents', 'The Haunting of Hill House', 'Mindhunter', 'Bloodline', 'Bosch', 'Boardwalk Empire']
White Dragon;['Brockmire', 'Fargo', 'Forever', 'Mirzapur', 'Togetherness', 'Ozark']
Hand of God;['Big Love', 'Veep', 'White Dragon', 'Six Feet Under', 'The Last Post', 'Sneaky Pete']
Fearless;['Homeland', 'Line of Duty', 'Twin Peaks', 'Absentia', 'True Detective', 'Togetherness']
The Last Post;['White Dragon', 'Brockmire', 'Fargo', 'Hand of God', 'Mirzapur', 'Homecoming']
Jean-Claude Van Johnson;['Futurama', 'Getting On', 'Brooklyn Nine-Nine', 'Modern Family', 'The End of the F***ing World', 'Prison Break']
Mirzapur;['White Dragon', 'Prison Break', 'Fargo', 'The Sopranos', 'Brockmire', 'Orange Is the New Black']
Alpha House;"['Brooklyn Nine-Nine', ""It's Always Sunny in Philadelphia"", 'The Simpsons', 'John Adams', 'The Newsroom', 'South Park']"
One Mississippi;['Big Love', 'Six Feet Under', 'Veep', 'Modern Family', 'Alpha House', 'Sneaky Pete']
Game of Thrones;['The Pacific', 'Vikings', 'Big Love', 'Prison Break', 'The Punisher', 'Veep']
Silicon Valley;['Workaholics', 'True Detective', 'Futurama', 'Getting On', 'Brooklyn Nine-Nine', 'Jean-Claude Van Johnson']
True Detective;['Absentia', 'Altered Carbon', 'Line of Duty', 'Twin Peaks', 'Fearless', 'The Shield']
The Sopranos;['Mirzapur', 'True Detective', 'Sneaky Pete', 'Bosch', 'Prison Break', 'Absentia']
